Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1CQ0124,431968,435819,2,2,26/12/2014,150,3,1,4,1,1,3,1,34,19
1CQ0124,431968,435819,2,2,26/12/2014,150,3,1,4,1,2,3,2,24,19
1CQ0293,434120,429958,1,1,26/12/2014,745,1,2,1,1,1,3,2,23,9
1CQ0491,433654,438995,2,1,26/12/2014,1150,3,2,1,1,1,2,1,29,5
1CQ0518,425680,426870,2,1,26/12/2014,1100,3,1,1,1,1,3,2,33,9
1CQ0820,440675,447730,2,2,26/12/2014,1645,3,2,4,2,1,3,2,19,9
1CQ0820,440675,447730,2,2,26/12/2014,1645,3,2,4,2,2,3,2,76,9
1CQ0911,427956,429368,2,1,26/12/2014,1750,6,1,4,1,2,3,2,17,9
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
1CQ0968,420220,445622,2,1,26/12/2014,1830,4,3,4,3,1,3,1,44,1
1CQ1060,425680,426869,2,1,26/12/2014,1930,6,2,4,3,1,3,1,30,8
1CR0161,424124,435026,1,1,27/12/2014,125,6,1,4,1,3,3,2,27,8
1CR1338,432563,435023,2,1,27/12/2014,1950,6,2,4,1,2,3,1,2,9
1CR1342,417978,442773,2,2,27/12/2014,1955,3,4,4,2,1,3,2,20,9
1CR1342,417978,442773,2,2,27/12/2014,1955,3,4,4,2,2,3,2,20,9
1CR1601,432007,434490,2,2,27/12/2014,2330,6,2,4,1,1,2,1,16,9
1CR1601,432007,434490,2,2,27/12/2014,2330,6,2,4,1,2,3,1,17,9
1CS0418,440330,435697,1,1,28/12/2014,955,6,4,1,1,1,3,1,45,9
1CS0430,421208,434125,1,1,28/12/2014,1005,3,4,1,1,1,3,2,22,9
1CS0465,429018,429439,1,1,28/12/2014,1118,6,1,1,1,3,2,1,86,19
1CS0477,435574,440137,1,1,28/12/2014,1055,3,4,1,1,1,3,2,74,9
1CT0467,426865,437535,2,3,30/12/2014,1154,3,2,1,1,1,3,1,55,9
1CT0467,426865,437535,2,3,30/12/2014,1154,3,2,1,1,1,3,1,65,9
1CT0467,426865,437535,2,3,30/12/2014,1154,3,2,1,1,2,3,2,62,9
1CT1319,425800,428414,2,1,29/12/2014,2025,4,2,4,1,1,3,1,28,9
1CU0553,421674,434229,1,1,30/12/2014,1335,6,2,1,1,3,3,2,73,9
1CU0802,429119,430977,2,1,30/12/2014,1554,6,2,1,1,1,3,2,55,9
1CV0080,428839,433995,1,1,31/12/2014,153,6,2,4,1,3,2,1,19,8
1CV0542,436092,434785,2,1,31/12/2014,1310,6,2,1,1,2,3,2,15,9
2130577,426119,426906,1,1,25/12/2014,830,6,1,1,1,2,3,1,71,8
21D1298,430261,431186,1,1,27/12/2014,50,6,1,7,1,3,3,1,23,9
25D0630,430906,433484,2,1,13/05/2014,1220,6,1,1,1,1,2,1,77,22
